id,nome,cognome,data_nascita,email,Fondamenti DB,Fondamenti coding,Linux server,JAVAAAA
1,Ermes,Monteverdi,2006-02-20,ermes.monteverdi@scuola.it,16,27,16,22
2,Donatello,Casale,2008-03-13,donatello.casale@scuola.it,17,25,23,23
3,Galasso,Agostinelli,1994-03-08,galasso.agostinelli@scuola.it,15,22,23,17
4,Orlando,Travaglia,2002-12-27,orlando.travaglia@scuola.it,30,16,19,26
5,Augusto,Fattori,2002-08-02,augusto.fattori@scuola.it,18,22,22,21
6,Pasqual,Scaramucci,1990-06-29,pasqual.scaramucci@scuola.it,29,23,29,19
7,Gastone,Rosmini,2002-09-30,gastone.rosmini@scuola.it,27,28,15,24
8,Donatello,Bevilacqua,2000-04-25,donatello.bevilacqua@scuola.it,18,24,15,28
9,Alphons,Catenazzi,1987-10-22,alphons.catenazzi@scuola.it,27,23,25,29
10,Ernesto,Abatantuono,2002-10-17,ernesto.abatantuono@scuola.it,16,16,25,21
11,Mercedes,Scalfaro,1992-10-06,mercedes.scalfaro@scuola.it,28,26,24,16
12,Romeo,Grifeo,1995-03-09,romeo.grifeo@scuola.it,30,22,30,30
13,Annibale,Carnera,2004-08-18,annibale.carnera@scuola.it,25,18,26,30
14,Pierina,Bruscantini,2006-04-13,pierina.bruscantini@scuola.it,23,21,23,15
16,Antonello,Berengario,1991-05-10,antonello.berengario@scuola.it,23,22,28,22
17,Graziella,Bignami,1989-04-09,graziella.bignami@scuola.it,22,23,25,25
18,Santino,Mazzi,1997-06-14,santino.mazzi@scuola.it,21,25,30,17
19,Nanni,Tozzi,2000-03-18,nanni.tozzi@scuola.it,16,28,23,21
20,Delfino,Comboni,1989-03-17,delfino.comboni@scuola.it,25,30,28,28
21,Ettore,Zoppetti,1991-08-07,ettore.zoppetti@scuola.it,17,18,22,28
22,Roberta,Bruno,1989-06-27,roberta.bruno@scuola.it,22,29,21,24
23,Riccardo,Bosio,1998-06-02,riccardo.bosio@scuola.it,15,27,17,30
24,Raffaellino,Roth,1988-02-04,raffaellino.roth@scuola.it,30,29,21,27
25,Mattia,Munari,2001-11-04,mattia.munari@scuola.it,16,23,15,18
26,Giuliana,Alighieri,2002-01-23,giuliana.alighieri@scuola.it,21,19,25,22
27,Saverio,Ossani,2005-01-04,saverio.ossani@scuola.it,22,21,26,28
